Name,Address,total_enrollment_fall_2019,vaccination_required_everyone,Latitude,Longitude,City,State,County,Zip
Transylvania University,"300 N Broadway, Lexington, Kentucky 40508-1797",946,NO,38.047243,-84.501981,Lexington,KY,Fayette County,40508
Mount Carmel College of Nursing,"127 So. Davis Ave, Columbus, Ohio 43222-1504",946,NO,39.961192,-83.035484,Columbus,OH,Franklin County,43222
Alderson Broaddus University,"101 College Hill Drive, Philippi, West Virginia 26416-2035",913,NO,39.158046,-80.047688,Philippi,WV,Barbour County,26416
Kentucky Wesleyan College,"3000 Frederica Street, Owensboro, Kentucky 42301",863,NO,37.742338,-87.122825,Owensboro,KY,Daviess County,42301
Kettering College,"3737 Southern Blvd, Kettering, Ohio 45429-1299",815,NO,39.693678,-84.191715,Dayton,OH,Montgomery County,45429
Wheeling University,"316 Washington Ave, Wheeling, West Virginia 26003",798,NO,40.067542,-80.690596,Wheeling,WV,Ohio County,26003
Davis & Elkins College,"100 Campus Dr, Elkins, West Virginia 26241-3996",776,NO,38.930409,-79.845404,Elkins,WV,Randolph County,26241
Bluffton University,"1 University Drive, Bluffton, Ohio 45817-2104",768,NO,40.894026,-83.897752,Bluffton,OH,Allen County,45817
Kentucky Christian University,"100 Academic Pkwy, Grayson, Kentucky 41143-1199",725,NO,38.339012,-82.946244,Grayson,KY,Carter County,41143
Cleveland Institute of Art,"11610 Euclid Avenue, Cleveland, Ohio 44106-1710",645,NO,41.510413,-81.602397,Cleveland,OH,Cuyahoga County,44106
Alice Lloyd College,"100 Purpose Rd, Pippa Passes, Kentucky 41844",575,NO,37.33427,-82.878559,Pippa Passes,KY,Knott County,41844
Wilberforce University,"1055 N Bickett Rd, Wilberforce, Ohio 45384-1001",566,NO,39.70718,-83.879614,Xenia,OH,Greene County,45385
Defiance College,"701 N Clinton St., Defiance, Ohio 43512",542,NO,41.295852,-84.360078,Defiance,OH,Defiance County,43512
Bethany College,"31 E Campus Dr, Bethany, West Virginia 26032",535,NO,40.204781,-80.561816,Bethany,WV,Brooke County,26032
